NM_001001398.2 fgf6a
XM_005167802.5 slc12a8
XM_005167806.5 crlf2
XM_005167807.5 ncam2
XM_005167809.5 ncam2
XM_005167810.5 dcun1d2a
XM_005167811.5 dcun1d2a
XM_005167815.4 pou2f1b
XM_005167816.4 pou2f1b
XM_005167821.5 med14
XM_005167822.4 med14
XM_005167823.5 slc35a5
XM_005167824.5 tfdp1a
XM_005167827.5 rcan1a
XM_005167828.5 hspbap1
XM_005167837.5 cacnb4a
XM_005167840.5 dcaf6
XM_005167841.5 dcaf6
XM_005167842.5 dcaf6
XM_005167843.5 dcaf6
XM_005167844.5 dcaf6
XM_005167845.5 ildr2
XM_005167846.5 ildr2
XM_005167847.5 ildr2
XM_005167849.5 ildr2
XM_005167850.4 upf3a
XM_005167853.5 gabpa
XM_005167854.5 shox
XM_005167858.5 gpa33b
XM_005167860.4 ppp2r3b
XM_005167866.5 sema5ba
XM_005167868.5 mcm3ap
XM_005167875.5 sestd1
XM_005167878.5 stat1b
XM_005167880.5 stat4
XM_005167881.5 stat4
XM_005167887.5 ppp1r1c
XM_005167892.5 pcbp3
XM_005167894.5 pcbp3
XM_005167896.5 nab1b
XM_005167899.5 glsb
XM_005167900.5 glsb
XM_005167901.5 glsb
XM_005167917.5 zgc:66484
XM_005167919.5 zgc:66484
XM_005167920.5 vil1
XM_005167921.5 nckap1
XM_005167922.5 nckap1
XM_005167923.5 nckap1
XM_005167924.5 nckap1
XM_005167925.5 pde1a
XM_005167928.4 rdh1
XM_005167934.5 rbm27
XM_005167935.5 rbm27
XM_005167936.5 rbm27
XM_005167938.5 rad50
XM_005167945.5 galnt13
XM_005167947.5 fmnl2a
XM_005167951.5 myo1b
XM_005167957.5 zgc:152951
XM_005167960.5 crfb2
XM_005167961.5 epsti1
XM_005167970.5 scel
XM_005167971.5 slain1a
XM_005167972.5 slain1a
XM_005167979.5 dgkh
XM_005167988.5 tfdp1b
XM_005167990.5 atp5pf
XM_005167996.5 adprhl1
XM_005168000.5 pcid2
XM_005168005.5 cenpe
XM_005168010.5 tpp2
XM_005168011.5 tpp2
XM_005168015.5 LOC101885604
XM_005168021.5 si:ch211-142b24.8
XM_005168055.5 LOC110437725
XM_005168060.5 slmapa
XM_005168061.5 slmapa
XM_005168062.5 slmapa
XM_005168063.5 slmapa
XM_005168064.5 slmapa
XM_005168080.4 dnm1a
XM_005168082.5 golga2
XM_005168083.5 golga2
XM_005168092.5 zgc:153383
XM_005168094.5 zgc:153383
XM_005168096.5 LOC101883330
XM_005168112.5 LOC100332698
XM_005168116.5 zgc:172128
XM_005168117.5 zgc:171673
XM_005168118.5 si:ch73-389k6.1
XM_005168122.5 mhc2d4b
XM_005168131.5 st6gal2a
XM_005168183.5 LOC101882570
XM_005168204.5 jag1a
XM_005168205.5 jag1a
XM_005168206.4 btbd3a
XM_005168208.5 ft2
XM_005168216.5 actmap
XM_005168220.5 rnf44
XM_005168222.5 cltb
XM_005168223.5 cltb
XM_005168225.1 LOC101886453
XM_005168237.5 zgc:158517
XM_005168238.5 LOC100534733
XM_005168249.5 LOC101882729
XM_005168268.5 rbbp5
XM_005168270.5 dstyk
XM_005168271.5 dram2b
XM_005168272.5 usp49
XM_005168275.5 cacna1sa
XM_005168276.5 zgc:153675
XM_005168277.5 cry4
XM_005168283.5 fndc10
XM_005168296.5 mbnl2
XM_005168297.5 mbnl2
XM_005168298.5 mbnl2
XM_005168309.4 si:ch211-132g1.1
XM_005168310.5 si:ch211-132g1.4
XM_005168313.5 ptgfrnb
XM_005168323.5 zgc:195282
XM_005168337.5 ufsp2
XM_005168338.5 cfap97
XM_005168339.5 clockb
XM_005168340.5 grhprb
XM_005168343.5 fat1a
XM_005168345.5 fat1a
XM_005168349.5 acsl1a
XM_005168350.5 acsl1a
XM_005168352.5 mtmr7b
XM_005168359.5 rbm47
XM_005168360.5 rbm47
XM_005168361.5 rbm47
XM_005168366.5 si:ch211-197n1.2
XM_005168369.5 tbc1d1
XM_005168371.5 tbc1d1
XM_005168372.5 si:dkeyp-118a3.2
XM_005168374.5 marchf1
XM_005168381.5 gemin8
XM_005168390.5 wbp1lb
XM_005168397.5 sts
XM_005168402.5 dennd1c
XM_005168407.5 rgs3a
XM_005168409.2 rgs3a
XM_005168410.3 LOC101882730
XM_005168414.5 cpdp
XM_005168417.5 d2hgdh
XM_005168422.5 wdr48b
XM_005168423.5 wdr48b
XM_005168425.5 ccr12a
XM_005168430.5 LOC101887100
XM_005168431.5 cactin
XM_005168439.5 zcchc2
XM_005168444.5 LOC555499
XM_005168445.5 ranbp3b
XM_005168451.5 mbd3a
XM_005168454.4 LOC101886196
XM_005168460.5 LOC100331003
XM_005168468.5 tfap4
XM_005168469.5 tfap4
XM_005168471.5 dnaja3a
XM_005168472.5 hmox2b
XM_005168474.1 LOC101883507
XM_005168475.5 elof1
XM_005168476.5 rab3db
XM_005168478.4 tmem205
XM_005168486.5 mfsd11
XM_005168487.5 si:ch73-366l1.5
XM_005168488.5 si:ch73-366l1.5
XM_005168490.5 mansc1
XM_005168491.5 mansc1
XM_005168492.5 mansc1
XM_005168496.4 eps8a
XM_005168498.5 crebl2
XM_005168503.5 prr5b
XM_005168504.5 prr5b
XM_005168511.5 pthlha
XM_005168512.5 tulp4a
XM_005168513.5 tmem181
XM_005168514.5 tmem181
XM_005168521.5 mrap2b
XM_005168522.5 chst11
XM_005168523.5 nfyba
XM_005168525.5 slc41a2b
XM_005168526.5 dtnba
XM_005168527.5 dtnba
XM_005168528.5 dtnba
XM_005168529.5 zgc:112970
XM_005168533.5 zbed4
XM_005168536.5 tafa5a
XM_005168537.5 tafa5a
XM_005168538.5 tbc1d22a
XM_005168539.5 tbc1d22a
XM_005168543.5 cerk
XM_005168547.5 celsr1a
XM_005168572.3 LOC101886761
XM_005168584.5 large1
XM_005168591.5 pacsin2
XM_005168601.1 LOC101886557
XM_005168602.5 angptl2a
XM_005168604.5 LOC101886910
XM_005168611.5 tbx1
XM_005168613.5 si:ch211-244o22.2
XM_005168615.5 sema4c
XM_005168619.5 ttf2
XM_005168620.5 zfpl1
XM_005168624.5 tmem248
XM_005168628.5 adora2b
XM_005168629.5 abr
XM_005168632.5 specc1
XM_005168633.5 specc1
XM_005168639.5 ttf1.5
XM_005168641.5 ttf1.6
XM_005168648.5 camsap1b
XM_005168649.5 notch1b
XM_005168656.5 kiss1rb
XM_005168657.5 rilpl2
XM_005168683.5 ak1
XM_005168685.4 keap1b
XM_005168690.5 si:zfos-323e3.4
XM_005168697.3 orc4
XM_005168700.5 acvr2ab
XM_005168702.3 chchd6b
XM_005168704.5 LOC100535338
XM_005168708.5 pou3f3b
XM_005168710.5 faimb
XM_005168711.5 mlpha
XM_005168712.5 mlpha
XM_005168717.5 st6gal2b
XM_005168724.5 lrrfip1b
XM_005168725.5 lrrfip1b
XM_005168728.5 lrrfip1b
XM_005168729.5 lrrfip1b
XM_005168730.5 lrrfip1b
XM_005168731.5 agap1
XM_005168735.5 slc19a2
XM_005168740.5 lrrc8db
XM_005168744.5 znf648
XM_005168746.5 gng12b
XM_005168751.5 brdt
XM_005168756.5 znf644b
XM_005168757.5 kyat3.2
XM_005168758.5 kyat3.2
XM_005168759.5 stau1
XM_005168761.5 stau1
XM_005168771.5 oxtrb
XM_005168773.5 si:dkeyp-67f1.2
XM_005168774.5 LOC555793
XM_005168775.5 igfn1.3
XM_005168776.5 pltp
XM_005168778.3 rtf2
XM_005168784.4 LOC101886558
XM_005168785.5 gcnt7
XM_005168786.5 necab3
XM_005168788.5 ddx3xb
XM_005168789.5 ddx3xb
XM_005168790.5 ddx3xb
XM_005168791.5 ddx3xb
XM_005168792.5 ddx3xb
XM_005168796.5 kdm6al
XM_005168801.5 si:ch73-368j24.11
XM_005168803.5 si:ch1073-159d7.13
XM_005168805.5 si:ch1073-220m6.1
XM_005168819.5 pax6b
XM_005168822.5 pax6b
XM_005168834.5 tle3b
XM_005168839.4 glceb
XM_005168840.5 map2k5
XM_005168848.5 spi1b
XM_005168859.5 cars1
XM_005168860.5 ccnb2
XM_005168863.5 si:ch73-314g15.3
XM_005168869.5 si:ch211-107o10.3
XM_005168874.5 tipin
XM_005168881.5 mtmr10
XM_005168884.5 tssc4
XM_005168885.5 tssc4
XM_005168886.5 tssc4
XM_005168887.5 tssc4
XM_005168888.5 tssc4
XM_005168889.5 tssc4
XM_005168890.5 tssc4
XM_005168891.5 ano5b
XM_005168893.5 kcnc1a
XM_005168894.5 kcnc1a
XM_005168895.5 kcnc1a
XM_005168897.5 adam10a
XM_005168903.5 bbox1
XM_005168904.5 bbox1
XM_005168912.5 zgc:153219
XM_005168917.5 sh2d7
XM_005168921.5 znf710b
XM_005168922.5 sema4bb
XM_005168923.5 rnf111
XM_005168924.5 rnf111
XM_005168925.5 rnf111
XM_005168926.5 myo1ea
XM_005168927.5 myo1ea
XM_005168928.5 apba2b
XM_005168929.5 apba2b
XM_005168930.5 apba2b
XM_005168931.5 apba2b
XM_005168933.5 tjp1a
XM_005168936.5 tjp1a
XM_005168941.5 golm2
XM_005168943.5 strc1
XM_005168948.5 kcna4
XM_005168950.5 si:ch211-194p6.10
XM_005168951.5 coro2ba
XM_005168952.5 uacab
XM_005168953.5 rxfp3.3a1
XM_005168961.5 rhpn2
XM_005168962.5 psmc3
XM_005168963.5 psmc3
XM_005168965.5 f2
XM_005168966.4 creb3l1
XM_005168969.5 aktip
XM_005168970.5 atg13
XM_005168973.5 cep89
XM_005168975.5 cln6a
XM_005168976.5 irx6a
XM_005168979.5 lpcat2
XM_005168986.2 esrp2
XM_005168987.5 esrp2
XM_005168991.4 celf1
XM_005168996.5 celf1
XM_005168997.5 celf1
XM_005168998.4 celf1
XM_005168999.5 celf1
XM_005169004.5 nkd1
XM_005169005.5 nudt19
XM_005169009.5 amfrb
XM_005169012.5 chd9
XM_005169013.5 chd9
XM_005169014.5 chd9
XM_005169015.5 chd9
XM_005169016.5 chd9
XM_005169017.5 chd9
XM_005169018.5 tox3
XM_005169019.5 cyld
XM_005169021.5 si:dkey-78a14.5
XM_005169023.5 slc7a9
XM_005169024.5 slc7a9
XM_005169029.5 dgkza
XM_005169033.5 dgkza
XM_005169034.5 dgkza
XM_005169037.5 dgkza
XM_005169040.4 cdkn2aip
XM_005169041.5 cdkn2aip
XM_005169046.5 ampd3a
XM_005169047.5 ampd3a
XM_005169050.5 znf821
XM_005169051.5 usp10
XM_005169052.5 usp10
XM_005169053.5 slc35c1
XM_005169055.5 nsun6
XM_005169057.5 LOC101885160
XM_005169059.5 muc5f
XM_005169066.5 psmd9
XM_005169080.5 golga1
XM_005169081.5 golga1
XM_005169084.2 rnf10
XM_005169086.5 LOC101884065
XM_005169088.5 kcnip3a
XM_005169091.5 rassf2a
XM_005169100.5 slc23a2
XM_005169122.5 marco
XM_005169133.5 klhl23
XM_005169142.5 LOC101885096
XM_005169144.4 nup155
XM_005169150.4 or42a4
XM_005169151.4 or42a4
XM_005169152.5 or42b1
XM_005169156.5 usp25
XM_005169157.5 usp25
XM_005169161.5 usp25
XM_005169164.5 samsn1b
XM_005169165.5 slc1a3b
XM_005169166.5 slc1a3b
XM_005169184.5 sez6a
XM_005169186.5 vezf1a
XM_005169187.5 vezf1a
XM_005169188.5 LOC101886660
XM_005169189.5 nf1b
XM_005169190.5 nf1b
XM_005169191.5 wscd1b
XM_005169195.5 nrip1b
XM_005169205.5 slc37a4b
XM_005169207.5 b3gat1b
XM_005169218.5 fgfr1b
XM_005169221.5 car15
XM_005169222.4 tmem120b
XM_005169228.5 mef2ca
XM_005169229.5 mef2ca
XM_005169232.5 mef2ca
XM_005169234.5 wdr45
XM_005169249.4 ndrg3a
XM_005169250.5 ndrg3a
XM_005169254.5 zc3h11a
XM_005169257.5 cpne1
XM_005169258.5 cpne1
XM_005169260.5 cpne1
XM_005169262.4 cpne1
XM_005169264.4 kdm5ba
XM_005169269.5 sulf2a
XM_005169270.5 sulf2a
XM_005169273.5 alpl
XM_005169275.4 rbm39a
XM_005169277.5 rbm39a
XM_005169278.5 rbm39a
XM_005169283.5 ipo9
XM_005169285.5 rnpep
XM_005169287.5 arhgap46a
XM_005169291.5 phf2
XM_005169292.5 phf2
XM_005169297.5 dvl1b
XM_005169298.5 dvl1b
XM_005169299.5 dvl1b
XM_005169301.5 dvl1b
XM_005169303.5 inavab
XM_005169304.5 hcfc1a
XM_005169305.5 tfe3b
XM_005169306.5 tfe3b
XM_005169307.5 tfe3b
XM_005169308.5 tfe3b
XM_005169310.5 vegfd
XM_005169325.5 brpf3a
XM_005169326.5 unm_sa1614
XM_005169329.5 iqsec1b
XM_005169330.5 iqsec1b
XM_005169331.5 iqsec1b
XM_005169332.5 iqsec1b
XM_005169333.5 iqsec1b
XM_005169337.5 fbln2
XM_005169346.5 rnf207a
XM_005169355.5 ppp1r26
XM_005169359.5 ace2
XM_005169360.5 ace2
XM_005169363.5 man2b1
XM_005169371.5 cdkl5
XM_005169373.5 cdkl5
XM_005169376.5 pgap4
XM_005169384.5 tmem169a
XM_005169385.5 tmem169a
XM_005169393.5 si:ch211-227n13.3
XM_005169400.5 tmem44
XM_005169409.5 hp1bp3
XM_005169411.5 tdrd3
XM_005169413.5 tdrd3
XM_005169417.5 LOC100331538
XM_005169422.5 mafgb
XM_005169425.5 myocd
XM_005169426.5 myocd
XM_005169427.5 myocd
XM_005169428.5 polr3e
XM_005169429.4 mettl9
XM_005169431.5 cdr2b
XM_005169434.5 LOC100334297
XM_005169440.5 zgc:153760
XM_005169448.5 tbc1d12b
XM_005169449.5 tbc1d12b
XM_005169450.5 pvalb3
XM_005169451.5 ifit11
XM_005169454.5 rnls
XM_005169455.5 dlgap5
XM_005169463.4 usp42
XM_005169466.5 cyth1b
XM_005169469.5 slc16a3b
XM_005169471.5 sfxn2
XM_005169482.5 mbtd1
XM_005169483.5 tmem94
XM_005169493.5 LOC101885582
XM_005169494.5 fdxr
XM_005169497.5 LOC101886286
XM_005169505.5 bub3
XM_005169507.4 si:zfos-911d5.4
XM_005169510.5 actr2b
XM_005169512.5 ppm1g
XM_005169513.5 fam120b
XM_005169516.5 cpeb3
XM_005169517.5 lrrfip2
XM_005169520.5 lrrfip2
XM_005169523.5 lrrfip2
XM_005169524.5 lrrfip2
XM_005169526.5 cdc42ep3
XM_005169528.5 ide
XM_005169532.5 btaf1
XM_005169548.5 LOC101886929
XM_005169549.5 si:dkeyp-2e4.8
XM_005169552.5 fgfr2
XM_005169554.5 fbxo11a
XM_005169557.5 ntpcr
XM_005169558.5 map10
XM_005169564.5 arl3l2
XM_005169565.5 acsl1b
XM_005169568.5 sec24b
XM_005169574.5 hmgxb3
XM_005169577.3 hnrnpaba
XM_005169579.5 hnrnph1
XM_005169580.5 hnrnph1
XM_005169592.5 gsr
XM_005169595.5 pcdh19
XM_005169598.5 glra4a
XM_005169601.5 fbxo38
XM_005169610.5 elf2a
XM_005169612.4 zgc:113425
XM_005169616.5 zgc:194285
XM_005169617.5 si:ch211-168f7.5
XM_005169618.4 flrt1b
XM_005169619.5 nocta
XM_005169620.4 mgarpa
XM_005169623.5 cabp2b
XM_005169625.5 crybb1l1
XM_005169627.5 sfxn1
XM_005169631.4 septin8b
XM_005169637.4 lxn
XM_005169638.4 lxn
XM_005169645.5 limk1a
XM_005169646.5 limk1a
XM_005169680.5 LOC100333734
XM_005169681.5 LOC100333863
XM_005169682.5 sh3bgr
XM_005169685.5 sh3bgr
XM_005169686.5 sh3bgr
XM_005169688.5 sh3bgr
XM_005169696.5 wdr62
XM_005169700.5 si:dkey-202l22.3
XM_005169708.5 si:dkey-202l22.6
XM_005169715.5 wdr53
XM_005169728.5 fgf12b
XM_005169729.5 fgf12b
XM_005169730.5 fgf12b
XM_005169731.5 LOC101886389
XM_005169745.4 flad1
XM_005169746.5 flad1
XM_005169748.5 si:dkey-92i15.4
XM_005169750.5 si:dkey-92i15.4
XM_005169753.5 LOC561423
XM_005169754.5 chrnb2
XM_005169755.5 shc1
XM_005169756.5 shc1
XM_005169758.5 LOC101885445
XM_005169759.4 LOC101885506
XM_005169763.5 lim2.5
XM_005169770.5 wdtc1
XM_005169771.5 pabpc1a
XM_005169772.5 ncoa7a
XM_005169774.5 khdc4
XM_005169775.5 khdc4
XM_005169783.5 kcnk10b
XM_005169784.5 ccdc9b
XM_005169788.5 ptpn21
XM_005169796.5 LOC101885874
XM_005169805.5 fam167aa
XM_005169808.5 rp1l1a
XM_005169809.4 rp1l1a
XM_005169810.5 tbpl2
XM_005169814.5 egln3
XM_005169817.5 gjb9a
XM_005169819.5 gpr137c
XM_005169829.5 znf395a
XM_005169831.5 hmbox1a
XM_005169832.5 hmbox1a
XM_005169836.5 ston2
XM_005169837.5 ston2
XM_005169841.4 fut9a
XM_005169847.4 nid2a
XM_005169855.5 si:ch211-266g18.6
XM_005169863.5 si:ch73-204p21.2
XM_005169866.5 si:ch73-204p21.2
XM_005169867.5 kif13ba
XM_005169869.5 kif13ba
XM_005169872.5 noxred1
XM_005169874.5 znf292a
XM_005169876.5 cga
XM_005169878.4 zgc:113176
XM_005169880.5 tfb1m
XM_005169881.5 LOC101886267
XM_005169882.5 psen1
XM_005169883.5 psen1
XM_005169884.5 trappc12
XM_005169885.4 paplna
XM_005169888.4 paplna
XM_005169892.4 exd2
XM_005169895.5 numb
XM_005169896.5 numb
XM_005169897.5 numb
XM_005169898.5 si:ch211-168d23.3
XM_005169908.5 hdc
XM_005169913.5 LOC101885270
XM_005169918.5 si:ch73-167i17.6
XM_005169919.5 trabd
XM_005169927.5 nr1h4
XM_005169928.5 vps9d1
XM_005169934.5 klhl36
XM_005169935.5 si:dkey-103i16.6
XM_005169936.5 mterf2
XM_005169941.5 mlc1
XM_005169952.5 plekhg7
XM_005169953.5 c1qtnf13
XM_005169957.5 zgc:173742
XM_005169967.5 qser1
XM_005169969.5 yif1b
XM_005169973.5 LOC101883792
XM_005169979.5 znrf2a
XM_005169989.5 znf516
XM_005169991.5 znf516
XM_005169993.5 nrsn1l
XM_005169996.5 umad1
XM_005169998.5 umad1
XM_005169999.5 csnk2b
XM_005170004.5 cndp2
XM_005170006.5 satb1a
XM_005170007.5 tra2a
XM_005170010.5 tra2a
XM_005170012.4 tbc1d5
XM_005170013.5 pals2b
XM_005170015.5 prrc2a
XM_005170018.5 atat1
XM_005170020.5 atat1
XM_005170023.2 ptp4a3a
XM_005170024.5 ptp4a3a
XM_005170027.5 nelfe
XM_005170031.3 polr1h
XM_005170035.5 c1galt1a
XM_005170036.5 lpcat1
XM_005170037.5 dtnbp1b
XM_005170038.5 adcy2b
XM_005170040.5 oxnad1
XM_005170041.5 oxnad1
XM_005170043.5 mgat1b
XM_005170044.4 mgat1b
XM_005170045.4 zbtb12.2
XM_005170046.5 zbtb12.1
XM_005170047.4 skic2
XM_005170050.5 npr1a
XM_005170052.5 rims3
XM_005170053.5 adnp2b
XM_005170054.5 adnp2b
XM_005170057.5 atp9b
XM_005170062.5 thbs3b
XM_005170064.5 eya3
XM_005170065.5 eya3
XM_005170066.5 eya3
XM_005170068.4 si:dkeyp-92c9.2
XM_005170069.5 myo1g
XM_005170070.5 dazl
XM_005170071.4 dazl
XM_005170072.5 dazl
XM_005170077.4 gsdmea
XM_005170085.5 LOC100537369
XM_005170096.5 sema4ab
XM_005170099.5 xkr8.4
XM_005170101.5 si:ch211-222e23.2
XM_005170102.5 gabbr1b
XM_005170121.5 sstr2a
XM_005170122.5 brd9
XM_005170124.5 brd9
XM_005170125.5 trip13
XM_005170130.5 si:ch73-359m17.2
XM_005170139.5 marcksa
XM_005170145.5 dab1a
XM_005170148.5 dab1a
XM_005170151.5 usp24
XM_005170153.5 LOC100330978
XM_005170154.5 ylpm1
XM_005170169.5 pomcb
XM_005170172.5 gopc
XM_005170175.5 gja12.1
XM_005170176.5 smpdl3a
XM_005170181.5 snx9b
XM_005170182.4 unc93a
XM_005170188.5 mark3b
XM_005170189.5 mark3b
XM_005170191.5 tdrd15
XM_005170194.5 gja12.2
XM_005170195.5 fam184ab
XM_005170197.5 cep85l
XM_005170200.5 gpr31
XM_005170202.5 efr3bb
XM_005170211.5 extl3
XM_005170215.5 naprt
XM_005170226.5 znf410
XM_005170229.5 yy1b
XM_005170230.5 cipcb
XM_005170240.5 LOC101884488
XM_005170241.5 si:ch1073-398f15.1
XM_005170245.4 zgc:152948
XM_005170246.4 zgc:152948
XM_005170247.4 zgc:152948
XM_005170249.5 otpa
XM_005170268.5 rbmx2
XM_005170271.5 mntb
XM_005170274.5 klf8
XM_005170276.5 LOC100003704
XM_005170280.5 LOC100150676
XM_005170284.5 stc2b
XM_005170286.5 crebrf
XM_005170288.4 sh3pxd2b
XM_005170293.4 cdkn2aipnl
XM_005170333.5 camlg
XM_005170340.5 sec24a
XM_005170341.5 LOC101883451
XM_005170347.5 si:ch1073-335m2.2
XM_005170348.5 si:ch1073-335m2.2
XM_005170351.5 rpl36
XM_005170360.5 pak2b
XM_005170370.5 LOC101887027
XM_005170371.5 LOC566710
XM_005170374.5 LOC794515
XM_005170376.5 LOC101882237
XM_005170393.5 LOC100007100
XM_005170403.4 znf1144
XM_005170407.5 LOC101884504
XM_005170426.5 rfxank
XM_005170427.5 rfxank
XM_005170429.5 rfxank
XM_005170432.5 mbd3b
XM_005170433.5 mbd3b
XM_005170436.5 midn
XM_005170442.5 tjp3
XM_005170443.5 tle5
XM_005170444.5 gatad2ab
XM_005170445.5 gatad2ab
XM_005170446.5 gatad2ab
XM_005170447.5 gatad2ab
XM_005170448.5 gatad2ab
XM_005170450.5 gna15.1
XM_005170454.5 hnrnpm
XM_005170457.5 borcs8
XM_005170459.5 hapln4
XM_005170460.5 cks2
XM_005170462.5 shc2
XM_005170465.5 kif14
XM_005170467.5 camsap2a
XM_005170470.5 si:ch211-129c21.1
XM_005170474.5 gna11a
XM_005170475.5 gna11a
XM_005170476.5 shdb
XM_005170480.5 tle2a
XM_005170484.5 lingo3a
XM_005170485.5 lingo3a
XM_005170492.5 tcf3b
XM_005170494.5 tcf3b
XM_005170501.5 s1pr3a
XM_005170507.4 ifi44f3
XM_005170513.5 arhgap45b
XM_005170514.5 arhgap45b
XM_005170515.5 arhgap45b
XM_005170516.5 arhgap45b
XM_005170519.5 si:ch211-212d10.1
XM_005170522.4 polrmt
XM_005170525.2 LOC101886682
XM_005170529.5 zbtb7a
XM_005170530.5 zbtb7a
XM_005170531.5 zbtb7a
XM_005170532.5 si:dkey-172o19.2
XM_005170534.5 dot1l
XM_005170536.5 tle2b
XM_005170537.5 LOC100332608
XM_005170544.5 dag1
XM_005170547.5 ncl
XM_005170549.5 LOC100002570
XM_005170550.5 kng1
XM_005170563.5 epm2a
XM_005170565.5 ncoa6
XM_005170566.5 ncoa6
XM_005170569.4 cnbpa
XM_005170570.5 pfkfb2a
XM_005170576.5 actl6b
XM_005170596.5 camta2
XM_005170598.5 LOC101882071
XM_005170599.5 asgr1a
XM_005170605.4 si:ch73-290k24.5
XM_005170612.5 itgb1a
XM_005170613.5 vopp1b
XM_005170627.5 LOC101882128
XM_005170635.5 LOC101883546
XM_005170638.5 zgc:154125
XM_005170649.5 srpk2
XM_005170654.4 slc25a3b
XM_005170655.5 chchd3b
XM_005170661.5 ccdc77
XM_005170662.5 ccdc77
XM_005170666.5 gpr22b
XM_005170675.5 nap1l4a
XM_005170676.5 spty2d1
XM_005170678.2 pkp3a
XM_005170679.5 dusp8a
XM_005170680.5 dusp8a
XM_005170687.5 abcc8
XM_005170689.5 stra6
XM_005170696.5 ahcyl2a
XM_005170698.5 dock4
XM_005170700.5 fbxo31
XM_005170703.5 ccdc33
XM_005170707.5 cpt1ab
XM_005170709.5 si:dkeyp-19e1.3
XM_005170718.5 LOC101884359
XM_005170730.5 si:dkey-108k21.13
XM_005170734.5 pdhx
XM_005170757.5 gprin1
XM_005170759.5 tmem151bb
XM_005170761.5 artn
XM_005170763.5 ftr93
XM_005170765.5 tmem151ba
XM_005170772.5 clec3a
XM_005170776.5 LOC568754
XM_005170779.5 fam83b
XM_005170783.5 LOC100007655
XM_005170784.5 csdc2b
XM_005170788.5 pebp4
XM_005170792.5 LOC100333521
XM_005170796.5 rela
XM_005170798.5 eps8l1b
XM_005170799.5 eps8l1b
XM_005170802.4 LOC101885117
XM_005170803.5 LOC101885342
XM_005170809.5 LOC563292
XM_005170828.4 LOC101883668
XM_005170835.5 smpd2a
XM_005170844.5 prkcba
XM_005170845.5 socs1b
XM_005170851.5 ints15
XM_005170853.5 tlr2
XM_005170863.5 pgap6
XM_005170873.5 ifi44a3
XM_005170874.5 fam83gb
XM_005170877.5 fscn1b
XM_005170879.5 gaa2
XM_005170886.2 si:dkeyp-57d7.4
XM_005170889.5 trim2a
XM_005170891.5 arfip1
XM_005170892.5 arfip1
XM_005170893.4 arfip1
XM_005170896.3 gria2a
XM_005170897.4 gria2a
XM_005170898.4 gria2a
XM_005170905.4 tmem154
XM_005170906.5 rpl9
XM_005170907.5 rpl9
XM_005170913.4 prom1b
XM_005170915.5 myoz2b
XM_005170916.5 pds5a
XM_005170917.5 mnd1
XM_005170922.5 pax5
XM_005170923.5 pax5
XM_005170925.4 npy1r
XM_005170930.5 rapgef2a
XM_005170931.5 rapgef2a
XM_005170932.5 rapgef2a
XM_005170936.5 frmpd1
XM_005170938.5 fgfbp1b
XM_005170940.5 adgrl3.1
XM_005170941.5 adgrl3.1
XM_005170942.5 adgrl3.1
XM_005170948.5 fbxw7
XM_005170952.5 fbxw7
XM_005170953.5 tmem131l
XM_005170955.5 LOC101883163
XM_005170957.5 usp53b
XM_005170970.5 rcbtb1
XM_005170971.5 itsn1
XM_005170972.5 itsn1
XM_005170975.5 si:busm1-105l16.2
XM_005170976.5 agpat3
XM_005170977.5 agpat3
XM_005170978.5 agpat3
XM_005170981.5 cryzl1
XM_005170982.5 bcl9
XM_005170986.5 cab39l
XM_005170987.5 cdadc1
XM_005170988.5 cdadc1
XM_005170991.5 mhc1zda
XM_005170994.5 sh3pxd2aa
XM_005170995.5 tubgcp3
XM_005170997.5 mhc1zea
XM_005171001.5 atp11a
XM_005171002.5 atp11a
XM_005171003.5 atp11a
XM_005171005.5 atp11a
XM_005171007.5 mcf2la
XM_005171009.5 mcf2la
XM_005171014.5 tmprss3b
XM_005171021.5 LOC101886975
XM_005171029.5 LOC101883054
XM_005171037.5 LOC100536657
XM_005171058.5 lpar2b
XM_005171060.5 LOC100007608
XM_005171061.5 LOC100007608
XM_005171073.5 LOC101884641
XM_005171076.5 LOC101885099
XM_005171082.5 LOC101886047
XM_005171083.4 dhx30
XM_005171084.5 LOC101886255
XM_005171085.5 LOC101886546
XM_005171086.5 LOC101886546
XM_005171087.5 znf1008
XM_005171088.5 si:ch73-40a17.4
XM_005171110.5 dab1b
XM_005171112.5 dab1b
XM_005171114.5 dab1b
XM_005171115.5 dab1b
XM_005171116.5 dab1b
XM_005171117.5 si:ch73-140j24.4
XM_005171118.5 gpaa1
XM_005171125.5 mul3
XM_005171126.5 mul3
XM_005171127.5 mul3
XM_005171128.4 serbp1b
XM_005171131.5 zgc:63882
XM_005171137.4 bcl6ab
XM_005171138.4 acbd5b
XM_005171140.3 acbd5b
XM_005171143.5 ssbp3a
XM_005171152.3 pfn2a
XM_005171154.5 lhx8a
XM_005171159.5 tyw3
XM_005171160.5 cdc7
XM_005171161.5 cdc7
XM_005171162.5 cdc7
XM_005171163.5 glmna
XM_005171166.5 slc35a3b
XM_005171167.4 mffb
XM_005171168.5 mffb
XM_005171170.5 anxa13l
XM_005171174.5 acot11a
XM_005171176.5 abi1b
XM_005171177.5 abi1b
XM_005171187.5 si:ch211-252f13.5
XM_005171196.5 elovl1a
XM_005171197.5 zfyve9a
XM_005171198.5 cc2d1b
